kind,value,sort_order
archive,УАД Алтайского края,10
archive,ГА Астраханской области,20
archive,ГА Республики Башкортостан,30
archive,ГА Республики Бурятия,40
archive,ГА Владимирской области,50
archive,ГА Волгоградской области,60
archive,Вологодский областной архив,70
archive,ГА Воронежской области,80
archive,ЦГА республики Дагестан,90
archive,ГА Ивановской области,100
archive,ГА Иркутской области,110
archive,ГА Калининградской области,120
archive,ГА Кемеровской области - Кузбасса,130
archive,ГА Кировской области,140
archive,НА Республики Коми,150
archive,ГА Костромской области,160
archive,ГА Краснодарского края,170
archive,ГА Красноярского края,180
archive,Ленинградский областной ГА в г. Выборге,190
archive,ЦГА города Москвы,200
archive,ЦГА Московской области,210
archive,ГА Мурманской области,220
archive,ЦА Нижегородской области,230
archive,ГА Новгородской области,240
archive,ГА Новосибирской области,250
archive,ГИА Омской области,260
archive,ГА Орловской области,270
archive,ГА Оренбургской области,280
archive,ГА Пензенской области,290
archive,Пермский ГА,300
archive,ГА Приморского края,310
archive,ГА Псковской области,320
archive,ГА Ростовской области,330
archive,ГА Рязанской области,340
archive,ГА Самарской области,350
archive,ЦГА Санкт-Петербурга,360
archive,ГА Саратовской области,370
archive,НА Республики Саха (Якутия),380
archive,ГА Свердловской области,390
archive,ГА Ставропольского края,400
archive,ГА Тамбовской области,410
archive,ГА Республики Татарстан,420
archive,ГА Тверской области,430
archive,ГА Тюменской области,440
archive,ГА Удмуртской Республики,450
archive,ГА Хабаровского края,460
archive,НА Республики Хакасия,470
archive,ГА Ханты-Мансийского АО - Югры,480
archive,ОГА Челябинской области,490
archive,ГА Чеченской Республики,500
archive,ГА Чувашской Республики,510
archive,ГА Ханты-Мансийского автономного округа - Югры,520
archive,ГА Ярославской области,530
archive,ГА Вологодской области,540
archive,ГА Пермского края,550
archive,ГА республики Саха (Якутия),560
archive,ГА Ханты-Мансийского АО,570
archive,ГА Челябинской области,580
archive,ГА Югры,590
church,Александровская,10
church,Александро-Невская,20
church,Алексеевская,30
church,Архангельская,40
church,Архидиаконская,50
church,Афанасиевская,60
church,Афанасие-Кирилловская,70
church,Благовещенская,80
church,Боголюбовская,90
church,Богоотцовская,100
church,Богородице-Рождественская,110
church,Богородицкая,120
church,Богословская,130
church,Богоявленская,140
church,Борисоглебская,150
church,Варваринская,160
church,Васильевская,170
church,Введенская,180
church,Владимирская,190
